,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,PicoProbeProgrammerBoard,,,,RaspberryPiPicoProgrammingBoard,
,,,,,,,
,,PI Pins,Pi net names,Connector Pins,Connector net names,raspberry PI Pins,Pi net names
,,4,GPIO2,4,SWDCLK,22,GPIO25
,,5,GPIO3,2,SWDIO,18,GPIO24
,,6,GPIO4,10,TRST/SDA_0,3,GPIO2
,,7,GPIO5,6,SWO/UART_RX,10,GPIO15
,,8,GND,3,GND,20,GND
,,34,GPIO28,1,VTREF/SCL_0,5,GPIO3 - can't do VTREF
,,,,8,SCL_1,28,GPIO1
,,,,5,Uart_TX,8,GPIO14
,,,,7,SDA_1,27,GPIO 0
,,"39,36","Vsys,3v3",9,5V,"1,2",
